,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71
Khordha,21,386,0,133,21,18,22,28,24,34,43,62,54,72,79,104,113,143,151,194,221,227,262,300,350,415,455,450,473,469,454,414,393,391,375,352,353,346,359,274,295,285,248,209,192,171,175,143,119,101,91,84,106,80,64,59,51,47,37,32,36,25,29,31,31,37,31,29,19,31,30,26,26,63
Kangra,2,24,0,1038,154,201,197,231,292,319,342,427,515,578,708,762,903,1028,1080,1170,1262,1261,1345,1297,1217,1052,1012,986,789,760,709,576,536,468,348,352,273,262,216,183,157,135,119,113,86,95,80,63,54,41,47,48,36,39,32,25,23,35,12,13,15,4,8,7,7,3,2,0,3,0,3,1,0,0
Katni,23,450,0,64,19,16,26,27,35,49,56,79,96,136,158,241,299,352,481,519,615,754,776,774,871,920,993,1099,1127,1108,1058,983,1025,894,919,696,657,628,523,480,393,339,328,243,200,174,162,109,99,76,64,51,62,28,35,23,35,36,24,17,26,14,12,18,13,15,13,6,7,5,4,3,3,13
Barwani,23,441,0,1068,122,185,179,187,253,307,325,405,441,514,620,653,760,852,899,1081,1044,1094,1164,1198,1154,1117,1079,897,822,682,538,475,357,336,242,248,189,162,138,125,95,82,66,49,36,31,42,26,26,29,24,24,13,13,9,11,6,6,3,5,1,4,11,6,4,4,5,3,3,1,0,0,2,2
Kasaragod,32,588,0,3,0,1,3,4,2,6,8,12,12,26,32,42,66,106,140,185,262,381,488,574,671,688,671,642,549,475,425,363,259,250,175,137,94,85,62,47,23,16,22,17,14,10,7,12,3,3,7,5,3,6,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambedkar Nagar,9,178,0,6,0,0,2,0,7,3,1,10,10,11,19,18,32,49,82,109,136,197,281,383,404,502,560,611,622,644,681,605,581,546,530,448,391,354,287,239,197,152,121,101,85,62,40,35,21,27,25,14,17,15,15,10,11,10,7,16,8,10,5,2,3,5,5,2,1,2,1,0,0,0
Narsimhapur,23,452,0,379,72,71,79,76,89,131,137,153,186,241,261,305,360,418,454,542,626,631,709,765,771,860,990,1194,1197,1263,1270,1196,1108,993,836,673,557,430,349,337,234,190,189,123,114,87,76,78,48,48,36,25,31,33,11,12,12,7,8,8,7,9,5,4,0,1,2,2,2,0,0,0,0,0
Durg,22,409,0,226,43,42,43,48,43,59,85,106,140,161,189,235,317,352,422,493,651,795,908,1144,1299,1465,1747,1828,2043,2018,1855,1793,1516,1316,1229,1140,1072,1028,889,888,776,745,643,602,553,451,445,367,320,263,194,165,170,145,136,84,78,95,62,59,61,44,44,44,41,45,38,58,59,48,37,35,30,181
Chirang,18,320,0,36,11,14,11,10,16,11,20,32,30,51,59,83,122,156,210,240,307,385,429,496,573,585,507,458,366,307,224,182,169,165,129,118,142,102,115,104,82,79,73,51,39,23,28,28,18,25,28,21,17,10,11,9,10,0,14,5,4,10,2,4,5,6,7,0,1,3,0,5,4,15
Neemuch,23,432,0,372,60,74,89,100,129,154,199,224,235,308,355,466,498,588,682,699,749,809,779,764,780,774,774,758,730,640,625,600,501,434,430,357,306,244,235,217,196,166,153,119,110,95,75,70,63,44,44,29,40,17,25,27,10,11,9,16,4,12,2,10,9,1,6,7,3,6,4,8,6,15
Panipat,6,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,34,73,102,115,163,171,236,249,257,272,286,274,289,256,218,198,197,176,163,148,163,130,130,122,95,119,107,98,67,90,53,48,65,46,44,50,56,35,33,20,24,20,146
Nizamabad,28,533,0,44,7,3,5,14,18,13,20,16,26,50,60,76,108,142,211,315,437,618,820,1031,1381,1643,1793,1910,2022,1965,2006,1896,1880,1521,1387,1222,1067,891,803,769,665,592,501,520,419,395,342,271,224,203,180,164,109,111,110,78,78,47,47,50,36,27,23,19,23,17,17,15,5,8,8,7,6,17
