distName,st_cen_cd,censuscode,SOL_14,SOL_15,SOL_16,SOL_17,SOL_18
Simdega,20,367,1452.2263,2629.9487,-164.94533,2875.56,3099.88
Firozpur,3,43,28003.75,30452.771,26357.78,28708.527,31603.422
Baghpat,9,139,6158.188,11300.42,12120.375,12014.251,12897.61
Purbi Singhbhum,20,357,26099.062,26477.562,27432.76,29889.459,28663.889
Bahraich,9,180,8972.321,12753.687,12697.318,19441.09,16449.98
Kishtwar,1,18,14919.174,12580.948,8345.454,14386.29,11472.299
Hardwar,5,68,27342.668,26050.674,22711.465,23404.889,25812.031
Raisen,23,446,12649.7295,19018.62,13594.797,21480.3,24189.93
Gajapati,21,389,1264.3958,2541.836,328.91254,3879.64,3877.49
Malkangiri,21,399,1877.829,3689.666,519.74243,5839.6104,5996.09
Deoria,9,190,9719.159,12003.694,14464.592,14759.189,18507.871
Amravati,27,503,26100.646,28372.531,22942.549,36593.734,33453.86
Bharuch,24,488,50304.008,39031.117,250243.64,41372.72,52305.53
Baleshwar,21,377,12507.634,12508.978,10345.033,14040.19,14659.24
Puri,21,387,9273.743,10030.962,8684.796,10471.7,11531.32
Sant Ravi Das Nagar(bhadohi),9,198,4191.4717,6946.5107,6187.587,9441.16,10081.29
Barddhaman,19,335,65089.23,66434.39,65350.125,81740.61,74432.586
Bara Banki,9,176,9641.405,11443.816,14258.077,21560.4,18921.97
Anand,24,482,14538.988,14614.517,11773.741,15662.359,16624.94
Bathinda,3,46,24866.012,25917.857,23371.893,23695.59,30375.078
Latur,27,524,9527.481,12598.261,10716.448,17468.99,16532.06
Bangalore,29,572,159375.86,175510.19,181464.67,180357.72,173822.38
North,11,241,4728.9243,3839.5518,478.16208,3211.88,3068.72
Ganganagar,8,99,26593.902,26435.377,19617.723,26913.281,29684.68
Narayanpur,22,415,37.85315,1093.6117,-1338.7772,2597.0498,2143.4302
Peren,13,271,956.70166,1479.873,343.0161,1421.63,1382.3401
Gurgaon,6,86,47468.266,47749.414,39422.74,41582.656,48091.402
Pashchimi Singhbhum,20,368,12511.132,15163.376,10217.308,16833.941,15762.31
Bagalkot,29,556,14511.595,15907.326,14210.968,19559.3,20703.611
Bijnor,9,134,21485.037,24538.871,23575.535,24449.14,23167.49
Nayagarh,21,385,3668.3933,4854.5654,2696.1694,4996.4204,5190.38
Thiruvallur,33,602,37108.67,33937.516,42141.414,42593.45,46172.867
Nagappattinam,33,618,6290.1245,7560.159,6889.8257,8147.0303,8057.34
Korba,22,404,30888.44,28579.766,24927.662,30426.11,30517.908
Karur,33,613,6081.0566,8358.83,7495.615,9587.07,9582.53
Bhilwara,8,122,32232.049,34739.816,25594.986,31328.852,33440.37
Chamrajnagar,29,578,5719.228,7869.0605,6047.218,11199.77,11733.1
Raigarh,22,403,37167.555,32925.094,27460.805,33061.61,31065.168
Ratnagiri,27,528,3691.8813,5926.761,1918.7888,10929.65,11643.31
Marigaon,18,304,3432.9995,3914.0867,3268.5264,4032.05,4186.58
Gautam Buddha Nagar,9,141,70600.67,77336.875,65828.516,66228.414,74465.79
Gorakhpur,9,188,17100.438,28867.762,27639.742,34121.72,35449.383
Shahid Bhagat Singh Nagar,3,39,5931.334,5389.1733,4222.211,5327.84,6451.44
Rampur,9,136,14786.143,18759.871,16807.744,18609.83,17316.41
Dumka,20,362,5136.3516,7174.7144,5621.3457,9499.89,10168.449
Bareilly,9,150,25002.21,28462.225,26474.352,33626.54,30756.42
Pashchim Champaran,10,203,8256.271,12717.226,12630.302,16836.98,20279.11
Ambala,6,70,18815.781,16212.703,12001.806,13759.12,16686.34
Pathanamthitta,32,599,2904.6907,3693.436,2710.9844,5570.1196,5539.36
Kozhikode,32,591,2090.6548,3056.5537,2927.3455,5504.55,5369.9404
Mainpuri,9,148,17425.678,22634.719,20326.607,20283.21,21200.51
Thanjavur,33,620,7909.1704,10984.309,9307.887,11963.42,10999.84
Chhindwara,23,455,11689.462,15639.091,10937.656,20677.23,18777.059
Kannur,32,589,2551.8843,3606.7231,2704.7603,5396.3403,6047.49
Saharanpur,9,132,24185.53,24433.629,29606.363,28951.838,28478.14
Datia,23,422,6830.158,9900.073,9047.325,9567.011,12471.819
Dhemaji,18,308,2730.9324,3030.3115,1172.45,3054.2302,3097.06
