State,District,Name,sureDoubtfulNegativeMaskSum,unsureDoubtfulMaskSum,slopePositive,slopeNegative,stderrSum,stderrMedian,stderrMean,confidentForPositive
23,460,Shahdol,0,2,2,1,0.3887592873,0.05016977978,0.06479321455,1
23,462,Sidhi,0,1,3,0,0.3672777447,0.05016977978,0.06121295744,1
27,505,Nagpur,0,0,3,0,0.4302539991,0.05016977978,0.07170899985,1
29,568,Shimoga,1,1,2,1,0.4365705152,0.05016977978,0.07276175254,1
29,581,Kolar,3,0,0,3,0.3751078679,0.05016977978,0.06251797798,1
32,590,Wayanad,1,1,1,2,0.413593951,0.04364357805,0.06893232516,1
1,15,Kulgam,2,1,0,3,0.4481149488,0.04123930494,0.07468582479,1
1,18,Kishtwar,1,2,0,3,0.5532043362,0.04123930494,0.0922007227,1
2,24,Kangra,0,0,3,0,0.2731269025,0.04123930494,0.04552115042,1
2,32,Sirmaur,0,2,3,0,0.5360790483,0.04123930494,0.08934650805,1
2,33,Shimla,0,0,3,0,0.3824591333,0.04123930494,0.06374318888,1
3,44,Muktsar,0,1,2,0,0.4588443932,0.04123930494,0.07647406553,1
5,65,Champawat,1,2,0,3,0.6423619797,0.04123930494,0.1070603299,1
8,108,Sawai Madhopur,1,1,1,1,0.3029703316,0.04123930494,0.05049505527,1
8,110,Jaipur,0,0,3,0,0.4123930494,0.04123930494,0.0687321749,1
8,125,Banswara,2,1,0,3,0.4175019135,0.04123930494,0.06958365225,1
9,150,Bareilly,1,0,2,1,0.3227890119,0.04123930494,0.05379816865,1
9,152,Shahjahanpur,1,2,0,3,0.4580391095,0.04123930494,0.07633985159,1
9,162,Auraiya,2,1,0,3,0.3477753892,0.04123930494,0.05796256487,1
9,170,Banda,0,1,2,1,0.4022794765,0.04123930494,0.06704657942,1
10,203,Pashchim Champaran,1,1,1,2,0.4059681602,0.04123930494,0.06766136003,1
11,242,West District,3,0,0,3,0.3197008084,0.04123930494,0.05328346807,1
14,275,Bishnupur,2,1,0,3,0.4612448232,0.04123930494,0.0768741372,1
15,283,Aizawl,0,2,1,2,0.4781528929,0.04123930494,0.07969214882,1
16,292,North Tripura,3,0,0,3,0.3375617581,0.04123930494,0.05626029302,1
18,320,Chirang,1,2,0,3,0.4969667225,0.04123930494,0.08282778709,1
20,351,Godda,1,1,1,2,0.4059681602,0.04123930494,0.06766136003,1
20,352,Sahibganj,1,1,1,2,0.4606948999,0.04123930494,0.07678248331,1
20,364,Ranchi,1,1,2,1,0.3708983376,0.04123930494,0.0618163896,1
21,375,Kendujhar,2,1,0,3,0.3765456383,0.04123930494,0.06275760639,1
21,383,Dhenkanal,2,1,1,2,0.3671852675,0.04123930494,0.06119754458,1
21,384,Anugul,2,1,0,3,0.3097366084,0.04123930494,0.05162276807,1
21,394,Nuapada,1,2,0,2,0.580638185,0.04123930494,0.09677303083,1
22,401,Surguja,2,1,0,3,0.3738511535,0.04123930494,0.06230852559,1
22,406,Bilaspur,2,1,0,2,0.3029703316,0.04123930494,0.05049505527,1
22,410,Raipur,2,0,1,2,0.2652967793,0.04123930494,0.04421612989,1
22,412,Dhamtari,2,1,1,2,0.2652967793,0.04123930494,0.04421612989,1
22,413,Uttar Bastar Kanker,2,1,0,3,0.3049280622,0.04123930494,0.0508213437,1
22,414,Bastar,2,1,0,3,0.3049280622,0.04123930494,0.0508213437,1
23,418,Sheopur,3,0,0,3,0.2474358297,0.04123930494,0.04123930494,1
23,423,Shivpuri,3,0,0,3,0.2474358297,0.04123930494,0.04123930494,1
23,427,Sagar,2,0,0,2,0.3029703316,0.04123930494,0.05049505527,1
23,434,Ratlam,1,0,2,1,0.3363345645,0.04123930494,0.05605576075,1
23,435,Ujjain,0,0,3,0,0.3285044413,0.04123930494,0.05475074021,1
23,436,Shajapur,1,0,2,1,0.3106434916,0.04123930494,0.05177391526,1
23,437,Dewas,0,0,3,0,0.3049280622,0.04123930494,0.0508213437,1
23,447,Betul,3,0,0,3,0.3525252171,0.04123930494,0.05875420285,1
23,452,Narsimhapur,2,0,0,2,0.3029703316,0.04123930494,0.05049505527,1
23,454,Mandla,3,0,0,3,0.3363345645,0.04123930494,0.05605576075,1
23,456,Seoni,3,0,0,3,0.2927325328,0.04123930494,0.04878875546,1
24,471,Mahesana,1,0,2,1,0.3299144395,0.04123930494,0.05498573992,1
24,477,Jamnagar,0,0,3,0,0.3299144395,0.04123930494,0.05498573992,1
24,479,Junagadh,1,0,2,1,0.2474358297,0.04123930494,0.04123930494,1
24,480,Amreli,0,0,3,0,0.2474358297,0.04123930494,0.04123930494,1
24,482,Anand,1,1,2,1,0.4409834435,0.04123930494,0.07349724058,1
24,484,Panch Mahals,2,0,1,2,0.2988179754,0.04123930494,0.04980299591,1
24,485,Dohad,2,0,1,2,0.3556055124,0.04123930494,0.0592675854,1
24,487,Narmada,2,0,1,2,0.3197008084,0.04123930494,0.05328346807,1
24,490,Navsari,2,0,1,2,0.2909878522,0.04123930494,0.04849797537,1
27,497,Nandurbar,2,0,1,2,0.2731269025,0.04123930494,0.04552115042,1
